label,em,f1,bleu
what,50.73250135648399,67.2258503673453,53.74820331424112
who,63.06306306306306,75.42785678062587,60.85728979544457
where,49.014084507042256,67.5559650176559,53.93578044779661
how,67.41214057507987,79.99451382837965,64.11870884150626
when,64.67065868263474,76.69410263721642,64.32712275429643
which,70.94017094017094,76.82884067499452,70.17076666922517
whose,61.111111111111114,80.4978354978355,73.69000299101118
